No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
15,MOJARAD Aliasghar,5,1.0,, 6,1.67
19,MARANDI Mahdi,4,5.0,, 9,1.33
 4,MAROUFLAKRANI Mir Saeid,4,1.0,, 5,1.33
10,GHAFOUR Amir,3,2.0,, 5,1.0
 6,MOUSAVI ERAGHI Seyed Mohammad,3,,-, 3,1.0
 2,EBADIPOUR GHARA H. Milad,2,4.0,, 6,0.67
17,SALEHI Meisam,1,4.0,, 5,0.33
 9,GHOLAMI Masoud,1,1.0,, 2,0.33
11,KAZEMI Saber,,1.0,, 1,0.0
12,SHARIFI Morteza,,,-, ,
21,SALEHI Arman,,,-, ,
24,KARIMISOUCHELMAEI Javad,,,-, ,
ls,,23,19.0,,42,7.67
