Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort
BOYER Stephen,2.0,5.0,3.0,10.0,0.06,33,0.12
BRIZARD Antoine,7.0,20.0,8.0,35.0,0.21,33,0.39
BULTOR Daryl,0.0,1.0,0.0,1.0,0.0,33,0.0
CHINENYEZE Barthelemy,20.0,59.0,44.0,123.0,0.61,33,1.45
CLEVENOT Trevor,9.0,22.0,12.0,43.0,0.27,33,0.52
GREBENNIKOV Jenia,0.0,0.0,0.0,0.0,0.0,33,0.0
LOUATI Yacine,0.0,0.0,0.0,0.0,0.0,33,0.0
NGAPETH Earvin,6.0,28.0,15.0,49.0,0.18,33,0.49
PATRY Jean,13.0,22.0,22.0,57.0,0.39,33,0.79
TILLIE Kevin,0.0,1.0,1.0,2.0,0.0,33,0.02
TONIUTTI Benjamin,1.0,10.0,10.0,21.0,0.03,33,0.21
le GOFF Nicolas,20.0,57.0,45.0,122.0,0.61,33,1.46
